Sample_ID,Country,Longitude,Latitude,Depth_m,d18O,d2H
Sample352,India,88.2336,24.2006,27.4,-3.6,-26
Sample353,Bangladesh,89.8633,23.6075,27.4,-3.2,-18
Sample354,Bangladesh,89.8156,23.5767,27.4,-5.8,-38
Sample355,Bangladesh,88.295,24.6306,27.4,-4.6,-28
Sample356,Bangladesh,88.2778,24.6231,27.4,-5.5,-36
Sample357,India,NA,NA,27.4,-6.02,-41.63
Sample358,India,NA,NA,27.4,-6.14,-42.41
Sample359,India,NA,NA,27.4,-6.24,-45.07
Sample360,India,88.22391667,88.22391667,27.43,-3.4,-23
Sample361,India,88.58645,23.02061667,27.432,-4.24636892,-26.7866959
Sample362,India,88.58528333,23.02171667,27.432,-4.25399314,-27.874753
Sample363,India,88.58766667,23.02121667,27.432,-2.7658825,-21.32107164
Sample364,India,88.587,23.02045,27.432,-4.6642578,-35.0783572
Sample365,India,88.58615,23.02085,27.432,-4.32810575,-31.7825292
Sample366,Bangladesh,89.7639,23.6603,28,-5.1,-33
Sample367,Bangladesh,89.6975,23.5639,28,-4.4,-27
Sample368,Bangladesh,88.2581,24.5992,28,-5.7,-38
Sample369,India,88.58558333,23.02235,28.0416,-3.92821228,-25.04632431
Sample370,India,NA,NA,28.05,-5.93,-41.54
Sample371,India,NA,NA,28.05,-6.14,-42.72
Sample372,India,NA,NA,28.05,-6.08,-42.18
Sample373,India,NA,NA,28.05,-3.95,-31.66
Sample374,India,NA,NA,28.05,-4.98,-39.87
Sample375,Bangladesh,89.7678,23.5794,28.3,-3.7,-20
Sample376,India,88.568,22.726,28.5,-3.73,-24.52
Sample377,India,88.56,22.751,28.5,-4.32,-27.75
Sample378,India,88.563,22.793,28.5,-3.61,-27.01
Sample379,Bangladesh,88.2732,24.5693,28.6,-3.6,-25
Sample380,India,88.48945833,22.74065167,29,-4.13,-27.9
Sample381,India,88.48979167,22.74026333,29,-3.2,-24.7
Sample382,Bangladesh,88.91,24.89,29,-3.7,-26
Sample383,Bangladesh,88.919,24.891,29,-3.7,-22
Sample384,Bangladesh,88.2516,24.5972,29,-6.2,-43
Sample385,Bangladesh,89.7253,23.67,29,-4,-23
Sample386,Bangladesh,88.2381,24.6372,29,-5.4,-35
Sample387,Bangladesh,88.2633,24.6883,29,-5.8,-40
Sample388,Bangladesh,88.2739,24.7072,29,-5.3,-34
Sample389,Bangladesh,88.3189,24.68,29,-4,-28
Sample390,Bangladesh,88.1642,24.5797,29,-6.7,-45
Sample391,Bangladesh,88.1811,24.5386,29,-6.7,-51
Sample392,Bangladesh,89.887,23.404,29.3,-4.5,-29
Sample393,India,88.585472,23.019139,29.565,-0.07471956,5.374643653
Sample394,India,88.49515,22.74711,30,-4.06,-25.8
Sample395,India,88.49146,22.74355,30,-3.06,-23.5
Sample396,India,88.49165,22.74716,30,-3.51,-23.5
Sample397,India,88.48790833,22.74196333,30,-4.96,-32.2
Sample398,Bangladesh,89.851,23.569,30,-5.2,-40
Sample399,Bangladesh,89.051,24.106,30,-4.5,-30.2
Sample400,Bangladesh,88.635,23.814,30,-4.57,-33.6
Sample401,Bangladesh,91.107,23.99,30,-1.6,-6
Sample402,Bangladesh,88.747,24.597,30,-3.5,-25
Sample403,Bangladesh,90.186,23.194,30,-2.8,-20
Sample404,Bangladesh,89.551,24.054,30,-3.5,-22
Sample405,Bangladesh,90.194,23.157,30.2,-4.4,-34
Sample406,India,NA,NA,30.4,-3.77,-25.78
Sample407,India,88.58583333,23.02125,30.48,-4.09852087,-31.96657226
Sample408,India,88.58773333,23.02023333,30.48,-4.1771022,-29.86674712
Sample409,India,88.59008,23.01919,30.48,-3.59441792,-21.3
Sample410,India,88.58773333,23.02023333,30.48,-4.45629992,-26.3095611
Sample411,Bangladesh,NA,NA,30.48,-3.908665943,-26.03989405
Sample412,Bangladesh,NA,NA,30.48,-3.825753447,-25.31189885
Sample413,Bangladesh,90.29723,23.53009,30.48,-3.827591711,-25.30610463
Sample414,Bangladesh,90.29708,23.5302,30.48,-3.957408441,-25.27965648
Sample415,India,NA,NA,30.5,-2.7,-18.45
Sample416,India,NA,NA,30.5,-3.28,-18.84
Sample417,India,NA,NA,30.5,-3.88,-22.43
Sample418,Bangladesh,89.705,23.5853,30.5,-4,-23
Sample419,India,88.559,22.798,31.6,-4.48,-30.99
Sample420,Bangladesh,88.753,24.811,32,-3.9,-23
Sample421,Bangladesh,89.142,24.321,32,-3.3,-19
Sample422,Bangladesh,89.358,25.864,32,-4.5,-29
Sample423,Bangladesh,88.594,24,32,-4.3,-27
Sample424,India,88.27,24.23,32,-4.6,-30
Sample425,India,88.26,24.21,32,-5,-31
Sample426,Bangladesh,89.8675,23.5347,32,-4.1,-25
Sample427,Bangladesh,89.8278,23.6292,32,-4.4,-26
Sample428,Bangladesh,89.8411,23.5789,32,-2.8,-17
Sample429,Bangladesh,88.2547,24.5769,32,-4,-27
Sample430,Bangladesh,88.655,23.757,32.3,-5.7,-36.8
Sample431,India,88.3039,24.2321,32.3,-5.02,-33
Sample432,Bangladesh,89.639,23.748,32.8,-4.6,-35
Sample433,Bangladesh,89.071,24.051,32.9,-3.8,-25.4
Sample434,Bangladesh,89.134,23.906,33,-3.4,-21.1
Sample435,Bangladesh,90.589,23.629,33.3,-4.7,-31
Sample436,India,NA,NA,33.5,-4.12,-28.21
Sample437,India,NA,NA,33.5,-4.82,-29.3
Sample438,India,NA,NA,33.5,-3.88,-21.45
Sample439,India,88.1823,24.1816,33.5,-3.65,-26.8
Sample440,India,88.2544,24.1909,33.5,-4.25,-29
Sample441,Bangladesh,88.295,24.6889,33.5,-5.1,-33
Sample442,Bangladesh,88.3033,24.5689,33.5,-4.5,-31
Sample443,India,NA,NA,33.5,-5.73,-38.65
Sample444,India,NA,NA,33.5,-5.69,-39.05
Sample445,Bangladesh,90.50571,23.72311,33.528,-4.23,-27.04
Sample446,India,88.2686,88.2686,33.53,-3.5,-25
Sample447,India,88.2684,88.2684,33.53,-3.8,-25
Sample448,India,88.2701,88.2701,33.53,-4.52,-31.1
Sample449,India,88.2688,88.2688,33.53,-3.5,-24
Sample450,India,88.22293333,88.22293333,33.53,-3.6,-26
Sample451,India,88.49535,22.74536,34,-4.55,-29.6
Sample452,India,88.49678,22.74495,34,-4.48,-28.6
Sample453,India,88.49099,22.74153,34,-4.33,-29.9
Sample454,India,88.488475,22.74210333,34,-3.95,-25.7
Sample455,India,88.48850833,22.74225333,34,-3.62,-25.1
Sample456,India,88.48950833,22.74047833,34,-3.3,-25.5
Sample457,India,88.488525,22.74203,34,-3.29,-23.1
Sample458,India,88.49276833,22.74126,34,-2.86,-22.8
Sample459,Bangladesh,88.645,24.55,34,-3.3,-20
Sample460,Bangladesh,88.956,25.169,34,-3.5,-21
Sample461,Bangladesh,88.931,24.906,34,-4.1,-29
Sample462,Bangladesh,89.577,22.788,34,-5.5,-35
Sample463,Bangladesh,89.353,25.282,34,-4.1,-32
Sample464,Bangladesh,88.2767,24.6017,34,-5.1,-37
Sample465,India,88.3015,24.2324,34.1,-5.5,-36.8
Sample466,Bangladesh,88.3192,24.6108,34.1,-4,-23
Sample467,Bangladesh,88.0738,24.7495,34.1,-5.5,-40
Sample468,India,NA,NA,34.15,-5.79,-40.56
Sample469,India,NA,NA,34.15,-5.52,-38.28
Sample470,Bangladesh,88.306,24.584,34.4,-5.5,-39.3
